pclass,sex,age,Class
1,female,29.0,First
1,male,0.9167,First
1,female,2.0,First
1,male,30.0,First
1,female,25.0,First
1,male,48.0,First
1,female,63.0,First
1,male,39.0,First
1,female,53.0,First
1,male,71.0,First
1,male,47.0,First
1,female,18.0,First
1,female,24.0,First
1,female,26.0,First
1,male,80.0,First
1,male,,First
1,male,24.0,First
1,female,50.0,First
1,female,32.0,First
1,male,36.0,First
1,male,37.0,First
1,female,47.0,First
1,male,26.0,First
1,female,42.0,First
1,female,29.0,First
1,male,25.0,First
1,male,25.0,First
1,female,19.0,First
1,female,35.0,First
1,male,28.0,First
1,male,45.0,First
1,male,40.0,First
1,female,30.0,First
1,female,58.0,First
1,male,42.0,First
1,female,45.0,First
1,female,22.0,First
1,male,,First
1,male,41.0,First
1,male,48.0,First
1,male,,First
1,female,44.0,First
1,female,59.0,First
1,female,60.0,First
1,female,41.0,First
1,male,45.0,First
1,male,,First
1,male,42.0,First
1,female,53.0,First
1,male,36.0,First
1,female,58.0,First
1,male,33.0,First
1,male,28.0,First
1,male,17.0,First
1,male,11.0,First
1,female,14.0,First
1,male,36.0,First
1,female,36.0,First
1,male,49.0,First
1,female,,First
1,male,36.0,First
1,female,76.0,First
1,male,46.0,First
1,female,47.0,First
1,male,27.0,First
1,female,33.0,First
1,female,36.0,First
1,female,30.0,First
1,male,45.0,First
1,female,,First
1,male,,First
1,male,27.0,First
1,female,26.0,First
1,female,22.0,First
1,male,,First
1,male,47.0,First
1,female,39.0,First
1,male,37.0,First
1,female,64.0,First
1,female,55.0,First
1,male,,First
1,male,70.0,First
1,female,36.0,First
1,female,64.0,First
1,male,39.0,First
1,female,38.0,First
1,male,51.0,First
1,male,27.0,First
1,female,33.0,First
1,male,31.0,First
1,female,27.0,First
1,male,31.0,First
1,female,17.0,First
1,male,53.0,First
1,male,4.0,First
1,female,54.0,First
1,male,50.0,First
1,female,27.0,First
1,female,48.0,First
1,female,48.0,First
1,male,49.0,First
1,male,39.0,First
1,female,23.0,First
1,female,38.0,First
1,female,54.0,First
1,female,36.0,First
1,male,,First
1,female,,First
1,female,,First
1,male,36.0,First
1,male,30.0,First
1,female,24.0,First
1,female,28.0,First
1,female,23.0,First
1,male,19.0,First
1,male,64.0,First
1,female,60.0,First
1,female,30.0,First
1,male,,First
1,male,50.0,First
1,male,43.0,First
1,female,,First
1,female,22.0,First
1,male,60.0,First
1,female,48.0,First
1,male,,First
1,male,37.0,First
1,female,35.0,First
1,male,47.0,First
1,female,35.0,First
1,female,22.0,First
1,female,45.0,First
1,male,24.0,First
1,male,49.0,First
1,female,,First
1,male,71.0,First
1,male,53.0,First
1,female,19.0,First
1,male,38.0,First
1,female,58.0,First
1,male,23.0,First
1,female,45.0,First
1,male,46.0,First
1,male,25.0,First
1,female,25.0,First
1,male,48.0,First
1,female,49.0,First
1,male,,First
1,male,45.0,First
1,female,35.0,First
1,male,40.0,First
1,male,27.0,First
1,male,,First
1,female,24.0,First
1,male,55.0,First
1,female,52.0,First
1,male,42.0,First
1,male,,First
1,male,55.0,First
1,female,16.0,First
1,female,44.0,First
1,female,51.0,First
1,male,42.0,First
1,female,35.0,First
1,male,35.0,First
1,male,38.0,First
1,male,,First
1,female,35.0,First
1,female,38.0,First
1,female,50.0,First
1,male,49.0,First
1,male,46.0,First
1,male,50.0,First
1,male,32.5,First
1,male,58.0,First
1,male,41.0,First
1,female,,First
1,male,42.0,First
1,female,45.0,First
1,male,,First
1,female,39.0,First
1,female,49.0,First
1,female,30.0,First
1,male,35.0,First
1,male,,First
1,male,42.0,First
1,female,55.0,First
1,female,16.0,First
1,female,51.0,First
1,male,29.0,First
1,female,21.0,First
1,male,30.0,First
1,female,58.0,First
1,female,15.0,First
1,male,30.0,First
1,female,16.0,First
1,male,,First
1,male,19.0,First
1,female,18.0,First
1,female,24.0,First
1,male,46.0,First
1,male,54.0,First
1,male,36.0,First
1,male,28.0,First
1,female,,First
1,male,65.0,First
1,male,44.0,First
1,female,33.0,First
1,female,37.0,First
1,male,30.0,First
1,male,55.0,First
1,male,47.0,First
1,male,37.0,First
1,female,31.0,First
1,female,23.0,First
1,male,58.0,First
1,female,19.0,First
1,male,64.0,First
1,female,39.0,First
1,male,,First
1,female,22.0,First
1,male,65.0,First
1,male,28.5,First
1,male,,First
1,male,45.5,First
1,male,23.0,First
1,male,29.0,First
1,female,22.0,First
1,male,18.0,First
1,female,17.0,First
1,female,30.0,First
1,male,52.0,First
1,male,47.0,First
1,female,56.0,First
1,male,38.0,First
1,male,,First
1,male,22.0,First
1,male,,First
1,female,43.0,First
1,male,31.0,First
1,male,45.0,First
1,male,,First
1,female,33.0,First
1,male,46.0,First
1,male,36.0,First
1,female,33.0,First
1,male,55.0,First
1,female,54.0,First
1,male,33.0,First
1,male,13.0,First
1,female,18.0,First
1,female,21.0,First
1,male,61.0,First
1,female,48.0,First
1,male,,First
1,female,24.0,First
1,male,,First
1,female,35.0,First
1,female,30.0,First
1,male,34.0,First
1,female,40.0,First
1,male,35.0,First
1,male,50.0,First
1,female,39.0,First
1,male,56.0,First
1,male,28.0,First
1,male,56.0,First
1,male,56.0,First
1,male,24.0,First
1,male,,First
1,female,18.0,First
1,male,24.0,First
1,female,23.0,First
1,male,6.0,First
1,male,45.0,First
1,female,40.0,First
1,male,57.0,First
1,female,,First
1,male,32.0,First
1,male,62.0,First
1,male,54.0,First
1,female,43.0,First
1,female,52.0,First
1,male,,First
1,female,62.0,First
1,male,67.0,First
1,female,63.0,First
1,male,61.0,First
1,female,48.0,First
1,female,18.0,First
1,male,52.0,First
1,female,39.0,First
1,male,48.0,First
1,female,,First
1,male,49.0,First
1,male,17.0,First
1,female,39.0,First
1,female,,First
1,male,31.0,First
1,male,40.0,First
1,male,61.0,First
1,male,47.0,First
1,female,35.0,First
1,male,64.0,First
1,female,60.0,First
1,male,60.0,First
1,male,54.0,First
1,male,21.0,First
1,female,55.0,First
1,female,31.0,First
1,male,57.0,First
1,female,45.0,First
1,male,50.0,First
1,male,27.0,First
1,female,50.0,First
1,female,21.0,First
1,male,51.0,First
1,male,21.0,First
1,male,,First
1,female,31.0,First
1,male,,First
1,male,62.0,First
1,female,36.0,First
2,male,30.0,Second
2,female,28.0,Second
2,male,30.0,Second
2,male,18.0,Second
2,male,25.0,Second
2,male,34.0,Second
2,female,36.0,Second
2,male,57.0,Second
2,male,18.0,Second
2,male,23.0,Second
2,female,36.0,Second
2,male,28.0,Second
2,male,51.0,Second
2,male,32.0,Second
2,female,19.0,Second
2,male,28.0,Second
2,male,1.0,Second
2,female,4.0,Second
2,female,12.0,Second
2,female,36.0,Second
2,male,34.0,Second
2,female,19.0,Second
2,male,23.0,Second
2,male,26.0,Second
2,male,42.0,Second
2,male,27.0,Second
2,female,24.0,Second
2,female,15.0,Second
2,male,60.0,Second
2,female,40.0,Second
2,female,20.0,Second
2,male,25.0,Second
2,female,36.0,Second
2,male,25.0,Second
2,male,42.0,Second
2,female,42.0,Second
2,male,0.8333,Second
2,male,26.0,Second
2,female,22.0,Second
2,female,35.0,Second
2,male,,Second
2,male,19.0,Second
2,female,44.0,Second
2,male,54.0,Second
2,male,52.0,Second
2,male,37.0,Second
2,female,29.0,Second
2,female,25.0,Second
2,female,45.0,Second
2,male,29.0,Second
2,female,28.0,Second
2,male,29.0,Second
2,male,28.0,Second
2,male,24.0,Second
2,female,8.0,Second
2,male,31.0,Second
2,female,31.0,Second
2,female,22.0,Second
2,female,30.0,Second
2,female,,Second
2,male,21.0,Second
2,male,,Second
2,male,8.0,Second
2,male,18.0,Second
2,female,48.0,Second
2,female,28.0,Second
2,male,32.0,Second
2,male,17.0,Second
2,male,29.0,Second
2,female,24.0,Second
2,male,25.0,Second
2,male,18.0,Second
2,female,18.0,Second
2,female,34.0,Second
2,male,54.0,Second
2,male,8.0,Second
2,male,42.0,Second
2,female,34.0,Second
2,female,27.0,Second
2,female,30.0,Second
2,male,23.0,Second
2,male,21.0,Second
2,male,18.0,Second
2,male,40.0,Second
2,female,29.0,Second
2,male,18.0,Second
2,male,36.0,Second
2,male,,Second
2,female,38.0,Second
2,male,35.0,Second
2,male,38.0,Second
2,male,34.0,Second
2,female,34.0,Second
2,male,16.0,Second
2,male,26.0,Second
2,male,47.0,Second
2,male,21.0,Second
2,male,21.0,Second
2,male,24.0,Second
2,male,24.0,Second
2,male,34.0,Second
2,male,30.0,Second
2,male,52.0,Second
2,male,30.0,Second
2,male,0.6667,Second
2,female,24.0,Second
2,male,44.0,Second
2,female,6.0,Second
2,male,28.0,Second
2,male,62.0,Second
2,male,30.0,Second
2,female,7.0,Second
2,male,43.0,Second
2,female,45.0,Second
2,female,24.0,Second
2,female,24.0,Second
2,male,49.0,Second
2,female,48.0,Second
2,female,55.0,Second
2,male,24.0,Second
2,male,32.0,Second
2,male,21.0,Second
2,female,18.0,Second
2,female,20.0,Second
2,male,23.0,Second
2,male,36.0,Second
2,female,54.0,Second
2,male,50.0,Second
2,male,44.0,Second
2,female,29.0,Second
2,male,21.0,Second
2,male,42.0,Second
2,male,63.0,Second
2,female,60.0,Second
2,male,33.0,Second
2,female,17.0,Second
2,male,42.0,Second
2,female,24.0,Second
2,male,47.0,Second
2,male,24.0,Second
2,male,22.0,Second
2,male,32.0,Second
2,female,23.0,Second
2,male,34.0,Second
2,female,24.0,Second
2,female,22.0,Second
2,female,,Second
2,male,35.0,Second
2,female,45.0,Second
2,male,57.0,Second
2,male,,Second
2,male,31.0,Second
2,female,26.0,Second
2,male,30.0,Second
2,male,,Second
2,female,1.0,Second
2,female,3.0,Second
2,male,25.0,Second
2,female,22.0,Second
2,female,17.0,Second
2,female,,Second
2,female,34.0,Second
2,male,36.0,Second
2,male,24.0,Second
2,male,61.0,Second
2,male,50.0,Second
2,female,42.0,Second
2,female,57.0,Second
2,male,,Second
2,male,1.0,Second
2,male,31.0,Second
2,female,24.0,Second
2,male,,Second
2,male,30.0,Second
2,male,40.0,Second
2,male,32.0,Second
2,male,30.0,Second
2,male,46.0,Second
2,female,13.0,Second
2,female,41.0,Second
2,male,19.0,Second
2,male,39.0,Second
2,male,48.0,Second
2,male,70.0,Second
2,male,27.0,Second
2,male,54.0,Second
2,male,39.0,Second
2,male,16.0,Second
2,male,62.0,Second
2,male,32.5,Second
2,female,14.0,Second
2,male,2.0,Second
2,male,3.0,Second
2,male,36.5,Second
2,male,26.0,Second
2,male,19.0,Second
2,male,28.0,Second
2,male,20.0,Second
2,female,29.0,Second
2,male,39.0,Second
2,male,22.0,Second
2,male,,Second
2,male,23.0,Second
2,male,29.0,Second
2,male,28.0,Second
2,male,,Second
2,female,50.0,Second
2,male,19.0,Second
2,male,,Second
2,male,41.0,Second
2,female,21.0,Second
2,female,19.0,Second
2,male,43.0,Second
2,female,32.0,Second
2,male,34.0,Second
2,male,30.0,Second
2,male,27.0,Second
2,female,2.0,Second
2,female,8.0,Second
2,female,33.0,Second
2,male,36.0,Second
2,male,34.0,Second
2,female,30.0,Second
2,female,28.0,Second
2,male,23.0,Second
2,male,0.8333,Second
2,male,3.0,Second
2,female,24.0,Second
2,female,50.0,Second
2,male,19.0,Second
2,female,21.0,Second
2,male,26.0,Second
2,male,25.0,Second
2,male,27.0,Second
2,female,25.0,Second
2,female,18.0,Second
2,female,20.0,Second
2,female,30.0,Second
2,male,59.0,Second
2,female,30.0,Second
2,male,35.0,Second
2,female,40.0,Second
2,male,25.0,Second
2,male,41.0,Second
2,male,25.0,Second
2,male,18.5,Second
2,male,14.0,Second
2,female,50.0,Second
2,male,23.0,Second
2,female,28.0,Second
2,female,27.0,Second
2,male,29.0,Second
2,female,27.0,Second
2,male,40.0,Second
2,female,31.0,Second
2,male,30.0,Second
2,male,23.0,Second
2,female,31.0,Second
2,male,,Second
2,female,12.0,Second
2,female,40.0,Second
2,female,32.5,Second
2,male,27.0,Second
2,female,29.0,Second
2,male,2.0,Second
2,female,4.0,Second
2,female,29.0,Second
2,female,0.9167,Second
2,female,5.0,Second
2,male,36.0,Second
2,female,33.0,Second
2,male,66.0,Second
2,male,,Second
2,male,31.0,Second
2,male,,Second
2,female,26.0,Second
2,female,24.0,Second
3,male,42.0,Third
3,male,13.0,Third
3,male,16.0,Third
3,female,35.0,Third
3,female,16.0,Third
3,male,25.0,Third
3,male,20.0,Third
3,female,18.0,Third
3,male,30.0,Third
3,male,26.0,Third
3,female,40.0,Third
3,male,0.8333,Third
3,female,18.0,Third
3,male,26.0,Third
3,male,26.0,Third
3,male,20.0,Third
3,male,24.0,Third
3,male,25.0,Third
3,male,35.0,Third
3,male,18.0,Third
3,male,32.0,Third
3,female,19.0,Third
3,male,4.0,Third
3,female,6.0,Third
3,female,2.0,Third
3,female,17.0,Third
3,female,38.0,Third
3,female,9.0,Third
3,female,11.0,Third
3,male,39.0,Third
3,male,27.0,Third
3,male,26.0,Third
3,female,39.0,Third
3,male,20.0,Third
3,male,26.0,Third
3,male,25.0,Third
3,female,18.0,Third
3,male,24.0,Third
3,male,35.0,Third
3,male,5.0,Third
3,male,9.0,Third
3,male,3.0,Third
3,male,13.0,Third
3,female,5.0,Third
3,male,40.0,Third
3,male,23.0,Third
3,female,38.0,Third
3,female,45.0,Third
3,male,21.0,Third
3,male,23.0,Third
3,female,17.0,Third
3,male,30.0,Third
3,male,23.0,Third
3,female,13.0,Third
3,male,20.0,Third
3,male,32.0,Third
3,female,33.0,Third
3,female,0.75,Third
3,female,0.75,Third
3,female,5.0,Third
3,female,24.0,Third
3,female,18.0,Third
3,male,40.0,Third
3,male,26.0,Third
3,male,20.0,Third
3,female,18.0,Third
3,female,45.0,Third
3,female,27.0,Third
3,male,22.0,Third
3,male,19.0,Third
3,male,26.0,Third
3,male,22.0,Third
3,male,,Third
3,male,20.0,Third
3,male,32.0,Third
3,male,21.0,Third
3,male,18.0,Third
3,male,26.0,Third
3,male,6.0,Third
3,female,9.0,Third
3,male,,Third
3,female,,Third
3,female,,Third
3,male,40.0,Third
3,female,32.0,Third
3,male,21.0,Third
3,female,22.0,Third
3,female,20.0,Third
3,male,29.0,Third
3,male,22.0,Third
3,male,22.0,Third
3,male,35.0,Third
3,female,18.5,Third
3,male,21.0,Third
3,male,19.0,Third
3,female,18.0,Third
3,female,21.0,Third
3,female,30.0,Third
3,male,18.0,Third
3,male,38.0,Third
3,male,17.0,Third
3,male,17.0,Third
3,female,21.0,Third
3,male,21.0,Third
3,male,21.0,Third
3,male,,Third
3,female,,Third
3,male,28.0,Third
3,male,24.0,Third
3,female,16.0,Third
3,female,37.0,Third
3,male,28.0,Third
3,male,24.0,Third
3,male,21.0,Third
3,male,32.0,Third
3,male,29.0,Third
3,male,26.0,Third
3,male,18.0,Third
3,male,20.0,Third
3,male,18.0,Third
3,male,24.0,Third
3,male,36.0,Third
3,male,24.0,Third
3,male,31.0,Third
3,male,31.0,Third
3,female,22.0,Third
3,female,30.0,Third
3,male,70.5,Third
3,male,43.0,Third
3,male,35.0,Third
3,male,27.0,Third
3,male,19.0,Third
3,male,30.0,Third
3,male,9.0,Third
3,male,3.0,Third
3,female,36.0,Third
3,male,59.0,Third
3,male,19.0,Third
3,female,17.0,Third
3,male,44.0,Third
3,male,17.0,Third
3,male,22.5,Third
3,male,45.0,Third
3,female,22.0,Third
3,male,19.0,Third
3,female,30.0,Third
3,male,29.0,Third
3,male,0.3333,Third
3,male,34.0,Third
3,female,28.0,Third
3,male,27.0,Third
3,male,25.0,Third
3,male,24.0,Third
3,male,22.0,Third
3,male,21.0,Third
3,male,17.0,Third
3,male,,Third
3,female,,Third
3,male,36.5,Third
3,female,36.0,Third
3,male,30.0,Third
3,male,16.0,Third
3,male,1.0,Third
3,female,0.1667,Third
3,male,26.0,Third
3,female,33.0,Third
3,male,25.0,Third
3,male,,Third
3,male,,Third
3,male,22.0,Third
3,male,36.0,Third
3,female,19.0,Third
3,male,17.0,Third
3,male,42.0,Third
3,male,43.0,Third
3,male,,Third
3,male,32.0,Third
3,male,19.0,Third
3,female,30.0,Third
3,female,24.0,Third
3,female,23.0,Third
3,male,33.0,Third
3,male,65.0,Third
3,male,24.0,Third
3,male,23.0,Third
3,female,22.0,Third
3,male,18.0,Third
3,male,16.0,Third
3,male,45.0,Third
3,male,,Third
3,male,39.0,Third
3,male,17.0,Third
3,male,15.0,Third
3,male,47.0,Third
3,female,5.0,Third
3,male,,Third
3,male,40.5,Third
3,male,40.5,Third
3,male,,Third
3,male,18.0,Third
3,female,,Third
3,male,,Third
3,male,,Third
3,male,26.0,Third
3,male,,Third
3,male,,Third
3,female,21.0,Third
3,female,9.0,Third
3,male,,Third
3,male,18.0,Third
3,male,16.0,Third
3,female,48.0,Third
3,male,,Third
3,male,,Third
3,male,25.0,Third
3,male,,Third
3,male,,Third
3,male,22.0,Third
3,female,16.0,Third
3,female,,Third
3,male,9.0,Third
3,male,33.0,Third
3,male,41.0,Third
3,female,31.0,Third
3,male,38.0,Third
3,male,9.0,Third
3,male,1.0,Third
3,male,11.0,Third
3,female,10.0,Third
3,female,16.0,Third
3,male,14.0,Third
3,male,40.0,Third
3,female,43.0,Third
3,male,51.0,Third
3,male,32.0,Third
3,male,,Third
3,male,20.0,Third
3,male,37.0,Third
3,male,28.0,Third
3,male,19.0,Third
3,female,24.0,Third
3,female,17.0,Third
3,male,,Third
3,male,,Third
3,male,28.0,Third
3,female,24.0,Third
3,male,20.0,Third
3,male,23.5,Third
3,male,41.0,Third
3,male,26.0,Third
3,male,21.0,Third
3,female,45.0,Third
3,female,,Third
3,male,25.0,Third
3,male,,Third
3,male,11.0,Third
3,female,,Third
3,male,27.0,Third
3,male,,Third
3,female,18.0,Third
3,female,26.0,Third
3,female,23.0,Third
3,female,22.0,Third
3,male,28.0,Third
3,female,28.0,Third
3,female,,Third
3,female,2.0,Third
3,female,22.0,Third
3,male,43.0,Third
3,male,28.0,Third
3,female,27.0,Third
3,male,,Third
3,female,,Third
3,male,42.0,Third
3,male,,Third
3,male,30.0,Third
3,male,,Third
3,female,27.0,Third
3,female,25.0,Third
3,male,,Third
3,male,29.0,Third
3,male,21.0,Third
3,male,,Third
3,male,20.0,Third
3,male,48.0,Third
3,male,17.0,Third
3,female,,Third
3,male,,Third
3,male,34.0,Third
3,male,26.0,Third
3,male,22.0,Third
3,male,33.0,Third
3,male,31.0,Third
3,male,29.0,Third
3,male,4.0,Third
3,female,1.0,Third
3,male,49.0,Third
3,male,33.0,Third
3,male,19.0,Third
3,female,27.0,Third
3,male,,Third
3,female,,Third
3,male,,Third
3,female,,Third
3,male,23.0,Third
3,male,32.0,Third
3,male,27.0,Third
3,female,20.0,Third
3,female,21.0,Third
3,male,32.0,Third
3,male,17.0,Third
3,male,21.0,Third
3,male,30.0,Third
3,male,21.0,Third
3,male,33.0,Third
3,male,22.0,Third
3,female,4.0,Third
3,male,39.0,Third
3,male,,Third
3,male,18.5,Third
3,male,,Third
3,male,,Third
3,female,,Third
3,female,,Third
3,male,34.5,Third
3,male,44.0,Third
3,male,,Third
3,male,,Third
3,female,,Third
3,male,,Third
3,male,,Third
3,male,,Third
3,female,22.0,Third
3,male,26.0,Third
3,female,4.0,Third
3,male,29.0,Third
3,female,26.0,Third
3,female,1.0,Third
3,male,18.0,Third
3,female,36.0,Third
3,male,,Third
3,male,25.0,Third
3,male,,Third
3,female,37.0,Third
3,male,,Third
3,male,,Third
3,male,,Third
3,female,22.0,Third
3,male,,Third
3,male,26.0,Third
3,male,29.0,Third
3,male,29.0,Third
3,male,22.0,Third
3,male,22.0,Third
3,male,,Third
3,female,,Third
3,female,,Third
3,female,,Third
3,female,,Third
3,male,32.0,Third
3,male,34.5,Third
3,female,,Third
3,male,,Third
3,male,36.0,Third
3,male,39.0,Third
3,male,24.0,Third
3,female,25.0,Third
3,female,45.0,Third
3,male,36.0,Third
3,female,30.0,Third
3,male,20.0,Third
3,male,,Third
3,male,28.0,Third
3,male,,Third
3,male,30.0,Third
3,female,26.0,Third
3,male,,Third
3,male,20.5,Third
3,male,27.0,Third
3,male,51.0,Third
3,female,23.0,Third
3,male,32.0,Third
3,male,,Third
3,male,,Third
3,female,,Third
3,male,24.0,Third
3,male,22.0,Third
3,female,,Third
3,male,,Third
3,male,,Third
3,male,29.0,Third
3,male,,Third
3,female,30.5,Third
3,female,,Third
3,male,,Third
3,male,35.0,Third
3,male,33.0,Third
3,female,,Third
3,male,,Third
3,female,,Third
3,male,,Third
3,female,,Third
3,female,,Third
3,male,,Third
3,female,,Third
3,male,,Third
3,female,,Third
3,female,15.0,Third
3,female,35.0,Third
3,male,,Third
3,male,24.0,Third
3,female,19.0,Third
3,female,,Third
3,female,,Third
3,female,,Third
3,male,55.5,Third
3,male,,Third
3,male,21.0,Third
3,male,,Third
3,male,24.0,Third
3,male,21.0,Third
3,male,28.0,Third
3,male,,Third
3,female,,Third
3,male,25.0,Third
3,male,6.0,Third
3,female,27.0,Third
3,male,,Third
3,female,,Third
3,male,,Third
3,male,,Third
3,male,34.0,Third
3,male,,Third
3,male,,Third
3,male,,Third
3,male,,Third
3,female,,Third
3,female,,Third
3,male,,Third
3,female,,Third
3,female,24.0,Third
3,male,,Third
3,female,,Third
3,female,,Third
3,female,,Third
3,male,18.0,Third
3,male,22.0,Third
3,female,15.0,Third
3,female,1.0,Third
3,male,20.0,Third
3,female,19.0,Third
3,male,33.0,Third
3,male,,Third
3,male,,Third
3,female,,Third
3,male,,Third
3,male,12.0,Third
3,female,14.0,Third
3,female,29.0,Third
3,male,28.0,Third
3,female,18.0,Third
3,female,26.0,Third
3,male,21.0,Third
3,male,41.0,Third
3,male,39.0,Third
3,male,21.0,Third
3,male,28.5,Third
3,female,22.0,Third
3,male,61.0,Third
3,male,,Third
3,male,,Third
3,female,,Third
3,male,,Third
3,male,,Third
3,male,,Third
3,male,23.0,Third
3,female,,Third
3,female,,Third
3,female,,Third
3,female,22.0,Third
3,male,,Third
3,female,,Third
3,male,9.0,Third
3,male,28.0,Third
3,male,42.0,Third
3,male,,Third
3,female,31.0,Third
3,male,28.0,Third
3,male,32.0,Third
3,male,20.0,Third
3,female,23.0,Third
3,female,20.0,Third
3,male,20.0,Third
3,male,16.0,Third
3,female,31.0,Third
3,female,,Third
3,male,2.0,Third
3,male,6.0,Third
3,female,3.0,Third
3,female,8.0,Third
3,female,29.0,Third
3,male,1.0,Third
3,male,7.0,Third
3,male,2.0,Third
3,male,16.0,Third
3,male,14.0,Third
3,female,41.0,Third
3,male,21.0,Third
3,male,19.0,Third
3,male,,Third
3,male,32.0,Third
3,male,0.75,Third
3,female,3.0,Third
3,female,26.0,Third
3,male,,Third
3,male,,Third
3,male,,Third
3,male,21.0,Third
3,male,25.0,Third
3,male,22.0,Third
3,male,25.0,Third
3,male,,Third
3,female,,Third
3,female,,Third
3,female,,Third
3,male,24.0,Third
3,female,28.0,Third
3,male,19.0,Third
3,male,,Third
3,male,25.0,Third
3,female,18.0,Third
3,male,32.0,Third
3,male,,Third
3,male,17.0,Third
3,male,24.0,Third
3,male,,Third
3,female,,Third
3,male,,Third
3,male,,Third
3,male,38.0,Third
3,male,21.0,Third
3,male,10.0,Third
3,male,4.0,Third
3,male,7.0,Third
3,male,2.0,Third
3,male,8.0,Third
3,female,39.0,Third
3,female,22.0,Third
3,male,35.0,Third
3,female,,Third
3,male,,Third
3,female,,Third
3,male,50.0,Third
3,female,47.0,Third
3,male,,Third
3,male,,Third
3,female,2.0,Third
3,male,18.0,Third
3,female,41.0,Third
3,female,,Third
3,male,50.0,Third
3,male,16.0,Third
3,male,,Third
3,male,,Third
3,male,,Third
3,male,25.0,Third
3,male,,Third
3,male,,Third
3,male,,Third
3,male,38.5,Third
3,male,,Third
3,male,14.5,Third
3,female,,Third
3,female,,Third
3,female,,Third
3,female,,Third
3,male,,Third
3,male,,Third
3,male,,Third
3,male,,Third
3,female,,Third
3,male,24.0,Third
3,female,21.0,Third
3,male,39.0,Third
3,male,,Third
3,male,,Third
3,male,,Third
3,female,1.0,Third
3,female,24.0,Third
3,female,4.0,Third
3,male,25.0,Third
3,male,20.0,Third
3,male,24.5,Third
3,male,,Third
3,male,,Third
3,male,,Third
3,male,29.0,Third
3,male,,Third
3,female,,Third
3,male,,Third
3,male,,Third
3,male,22.0,Third
3,male,,Third
3,male,40.0,Third
3,male,21.0,Third
3,female,18.0,Third
3,male,4.0,Third
3,male,10.0,Third
3,female,9.0,Third
3,female,2.0,Third
3,male,40.0,Third
3,female,45.0,Third
3,male,,Third
3,male,,Third
3,male,,Third
3,male,,Third
3,female,,Third
3,male,19.0,Third
3,male,30.0,Third
3,male,,Third
3,male,32.0,Third
3,male,,Third
3,male,33.0,Third
3,female,23.0,Third
3,male,21.0,Third
3,male,60.5,Third
3,male,19.0,Third
3,female,22.0,Third
3,male,31.0,Third
3,male,27.0,Third
3,female,2.0,Third
3,female,29.0,Third
3,male,16.0,Third
3,male,44.0,Third
3,male,25.0,Third
3,male,74.0,Third
3,male,14.0,Third
3,male,24.0,Third
3,male,25.0,Third
3,male,34.0,Third
3,male,0.4167,Third
3,male,,Third
3,male,,Third
3,male,,Third
3,female,16.0,Third
3,male,,Third
3,male,,Third
3,female,,Third
3,male,32.0,Third
3,male,,Third
3,male,,Third
3,male,30.5,Third
3,male,44.0,Third
3,male,,Third
3,male,25.0,Third
3,male,,Third
3,male,7.0,Third
3,female,9.0,Third
3,female,29.0,Third
3,male,36.0,Third
3,female,18.0,Third
3,female,63.0,Third
3,male,,Third
3,male,11.5,Third
3,male,40.5,Third
3,female,10.0,Third
3,male,36.0,Third
3,female,30.0,Third
3,male,,Third
3,male,33.0,Third
3,male,28.0,Third
3,male,28.0,Third
3,male,47.0,Third
3,female,18.0,Third
3,male,31.0,Third
3,male,16.0,Third
3,female,31.0,Third
3,male,22.0,Third
3,male,20.0,Third
3,female,14.0,Third
3,male,22.0,Third
3,male,22.0,Third
3,male,,Third
3,male,,Third
3,male,,Third
3,male,32.5,Third
3,female,38.0,Third
3,male,51.0,Third
3,male,18.0,Third
3,male,21.0,Third
3,female,47.0,Third
3,male,,Third
3,male,,Third
3,male,,Third
3,male,28.5,Third
3,male,21.0,Third
3,male,27.0,Third
3,male,,Third
3,male,36.0,Third
3,male,27.0,Third
3,female,15.0,Third
3,male,45.5,Third
3,male,,Third
3,male,,Third
3,female,14.5,Third
3,female,,Third
3,male,26.5,Third
3,male,27.0,Third
3,male,29.0,Third
